name,sr,channels,duration_s,nclick,coda_dur_s,mean_ici_s,cv_ici,front2_mass,front_half_mass,first_last_ratio,amp_cv,amp_trend,amp_shape,amp_max_pos,audio_cluster,density_class,tempo_class,gap_string,collapsed_gap_string,fast_share,long_share,max_fast_run,anchor_count,begins_long,ends_fast,tdoa_ms,tdoa_iqr_ms,stereo_class
e1d1420dbb97617e38063279a50de5b3054a42b2a65f454ecd55a813043bce7f,44100,1,1.563197278911565,3,0.8231065759637188,0.4115532879818594,0.8593900658399459,1.0,0.0703049670789829,0.0756215367290919,0.6963367529366824,-0.1469660442717268,front_accented,0.0,A02,sparse_0_4,very_slow,bf,bf,0.5,0.5,1,1,False,False,,,mono_or_unknown
e1ede2e5dfc05085c8e238e43b4c72cf777b0f963a2ccab4b899d1fd43f6801a,44100,1,2.3388208616780046,16,2.0729478458049884,0.1381965230536659,0.8717638309063456,0.2399116138136233,0.4974129538269687,0.9591261451428584,0.4613287328362946,0.0172921164466536,mixed,0.6,A14,long_11_16,medium,afaedbaedcaceea,afaedbaedcacea,0.4,0.3333333333333333,2,7,False,True,,,mono_or_unknown
e254434595daa1a1080ec16d291a6f84288293c3c6b081b676c2b07bc10d7ba3,44100,1,1.3406802721088436,11,1.0063945578231293,0.1006394557823129,0.6090549347919234,0.3830381686269208,0.6598395746023162,1.3546832931756068,0.5906991883035823,-0.0533695633719351,falling,0.0,A13,long_11_16,fast,eddccabacd,edcabacd,0.3,0.1,3,4,True,False,,,mono_or_unknown
e2f93d0979cd049a298e2cd19624ee1384dd3f6a6ad9288dcb3bc6bb6a916418,120000,2,2.048058333333333,15,1.4224,0.1016,0.6292267850039664,0.2202380952380952,0.4978205849268841,0.5741339645894411,1.0687425183987118,-0.0307876304729118,falling,0.07142857142857142,A15,long_11_16,fast,ddcadcbcbadbde,dcadcbcbadbde,0.35714285714285715,0.07142857142857142,2,6,True,False,0.0083333333333333,0.0125,center_stable
e33b5b95456d5ca1e40d5c092a09171bfb4b9609af3eea0e0dfd9288a6b35287,120000,2,2.082016666666666,9,1.3825500000000002,0.17281875,0.7196485590385491,0.2699902354345231,0.5331874676021361,2.1114797261583265,0.3834968976589162,0.0639529624035359,mixed,0.125,A13,expanded_7_10,slow,fbfbfadd,fbfbfad,0.375,0.375,1,5,True,False,-0.0083333333333333,0.0083333333333333,center_stable
e37cb6c0dd9d651ebca81324657fc711f3ae5d01bbdc14fe7c22cc22efe5b352,48000,2,1.5471875,4,1.0980833333333333,0.3660277777777778,0.4781168402108939,0.6220497837140473,0.1196971996660848,0.316700968826103,0.7329920142533757,-0.7725315212742018,falling,0.0,A05,sparse_0_4,very_slow,dff,df,0.0,0.6666666666666666,0,3,True,False,-0.875,1.4635416666666667,L_unstable
e3900c2b262cf04214d75244342c40364d34cf337d5188c6237dde0afbc4effe,44100,1,1.7047845804988662,6,1.1698185941043084,0.2339637188208616,0.6052240903712204,0.4393184593614918,0.4393184593614918,2.396935130763256,0.3428371233155723,0.0016450286057497,mixed,0.2,A09,canonical_5_6,very_slow,fbede,fbede,0.2,0.6,1,4,True,False,,,mono_or_unknown
e40c176aabe89ad796af1dee65c7d05262f9d9aa5f6c0d8273318427acaaedf5,48000,2,1.3882916666666667,8,0.9784791666666666,0.139782738095238,0.8148551728686488,0.1215534311324972,0.1510422211339877,1.5429588205012432,0.2997483372412476,0.0444565262645508,rising,1.0,A11,expanded_7_10,medium,cbafeeb,cbafeb,0.42857142857142855,0.42857142857142855,2,3,False,True,-0.0625,0.5260416666666667,center_mixed
e4bb9240a7ea428f4fd951cf3ea1860ad9f8f58ca7ff579b8e31ec58872645e9,44100,1,1.63421768707483,12,1.1217687074829934,0.1019789734075448,0.5997168693771798,0.1605821710127349,0.5019203557711743,2.081582200209388,0.4791576446410303,-0.0210472596175294,mixed,0.5454545454545454,A13,long_11_16,fast,dcddcbccbeb,dcdcbcbeb,0.2727272727272727,0.09090909090909091,1,4,True,True,,,mono_or_unknown
e53f5686d1ee7b2743b24a1ec2eadbcaa17a4714987a917c780973dcb3787469,120000,2,1.9535916666666664,19,1.109883333333333,0.0616601851851851,0.5558331323515237,0.0857897977264877,0.3808583484750649,0.2995814989925563,0.3095760566525189,-0.0467443811576005,falling,0.05555555555555555,A16,dense_17plus,very_fast,bbbbbbbbbbbbbaddbd,badbd,0.8333333333333334,0.0,14,3,False,False,-0.0083333333333333,0.0,center_stable
